地區,縣市,年齡層,性別,人口數
北,基隆市,中壯齡 (45-54),女,28906
北,基隆市,中壯齡 (45-54),男,28101
北,基隆市,中高齡 (55-64),女,31121
北,基隆市,中高齡 (55-64),男,29974
北,基隆市,初老齡 (65-74),女,27133
北,基隆市,初老齡 (65-74),男,23834
北,基隆市,學齡前 (0-6),女,6087
北,基隆市,學齡前 (0-6),男,6696
北,基隆市,成年 (25-44),女,47531
北,基隆市,成年 (25-44),男,51634
北,基隆市,老齡 (75+),女,15879
北,基隆市,老齡 (75+),男,11220
北,基隆市,青少年 (7-14),女,10338
北,基隆市,青少年 (7-14),男,10881
北,基隆市,青年 (15-24),女,15176
北,基隆市,青年 (15-24),男,16721
北,新竹市,中壯齡 (45-54),女,38670
北,新竹市,中壯齡 (45-54),男,37091
北,新竹市,中高齡 (55-64),女,30499
北,新竹市,中高齡 (55-64),男,28892
北,新竹市,初老齡 (65-74),女,24241
北,新竹市,初老齡 (65-74),男,20691
北,新竹市,學齡前 (0-6),女,12655
北,新竹市,學齡前 (0-6),男,13840
北,新竹市,成年 (25-44),女,64953
北,新竹市,成年 (25-44),男,65973
北,新竹市,老齡 (75+),女,15833
北,新竹市,老齡 (75+),男,10825
北,新竹市,青少年 (7-14),女,21036
北,新竹市,青少年 (7-14),男,22521
北,新竹市,青年 (15-24),女,22898
北,新竹市,青年 (15-24),男,25161
南,嘉義市,中壯齡 (45-54),女,21826
南,嘉義市,中壯齡 (45-54),男,18496
南,嘉義市,中高齡 (55-64),女,21036
南,嘉義市,中高齡 (55-64),男,18521
南,嘉義市,初老齡 (65-74),女,16817
南,嘉義市,初老齡 (65-74),男,14263
南,嘉義市,學齡前 (0-6),女,5642
南,嘉義市,學齡前 (0-6),男,5989
南,嘉義市,成年 (25-44),女,36078
南,嘉義市,成年 (25-44),男,35230
南,嘉義市,老齡 (75+),女,11881
南,嘉義市,老齡 (75+),男,7859
南,嘉義市,青少年 (7-14),女,9819
南,嘉義市,青少年 (7-14),男,10496
南,嘉義市,青年 (15-24),女,13079
南,嘉義市,青年 (15-24),男,14191
都會區 (六都),新北市,中壯齡 (45-54),女,348164
都會區 (六都),新北市,中壯齡 (45-54),男,323737
都會區 (六都),新北市,中高齡 (55-64),女,336782
都會區 (六都),新北市,中高齡 (55-64),男,288714
都會區 (六都),新北市,初老齡 (65-74),女,287972
都會區 (六都),新北市,初老齡 (65-74),男,235566
都會區 (六都),新北市,學齡前 (0-6),女,82331
都會區 (六都),新北市,學齡前 (0-6),男,87490
都會區 (六都),新北市,成年 (25-44),女,568632
都會區 (六都),新北市,成年 (25-44),男,585992
都會區 (六都),新北市,老齡 (75+),女,150775
都會區 (六都),新北市,老齡 (75+),男,109455
都會區 (六都),新北市,青少年 (7-14),女,131518
都會區 (六都),新北市,青少年 (7-14),男,140306
都會區 (六都),新北市,青年 (15-24),女,177306
都會區 (六都),新北市,青年 (15-24),男,193692
都會區 (六都),桃園市,中壯齡 (45-54),女,192210
都會區 (六都),桃園市,中壯齡 (45-54),男,181950
都會區 (六都),桃園市,中高齡 (55-64),女,171757
都會區 (六都),桃園市,中高齡 (55-64),男,156588
都會區 (六都),桃園市,初老齡 (65-74),女,137091
都會區 (六都),桃園市,初老齡 (65-74),男,117913
都會區 (六都),桃園市,學齡前 (0-6),女,61627
都會區 (六都),桃園市,學齡前 (0-6),男,66172
都會區 (六都),桃園市,成年 (25-44),女,353857
都會區 (六都),桃園市,成年 (25-44),男,359001
都會區 (六都),桃園市,老齡 (75+),女,72795
都會區 (六都),桃園市,老齡 (75+),男,53434
都會區 (六都),桃園市,青少年 (7-14),女,88945
都會區 (六都),桃園市,青少年 (7-14),男,95522
都會區 (六都),桃園市,青年 (15-24),女,114474
都會區 (六都),桃園市,青年 (15-24),男,125099
都會區 (六都),臺中市,中壯齡 (45-54),女,235604
都會區 (六都),臺中市,中壯齡 (45-54),男,213810
都會區 (六都),臺中市,中高齡 (55-64),女,219477
都會區 (六都),臺中市,中高齡 (55-64),男,193191
都會區 (六都),臺中市,初老齡 (65-74),女,171652
都會區 (六都),臺中市,初老齡 (65-74),男,147904
都會區 (六都),臺中市,學齡前 (0-6),女,70265
都會區 (六都),臺中市,學齡前 (0-6),男,75636
都會區 (六都),臺中市,成年 (25-44),女,428893
都會區 (六都),臺中市,成年 (25-44),男,433120
都會區 (六都),臺中市,老齡 (75+),女,95203
都會區 (六都),臺中市,老齡 (75+),男,69349
都會區 (六都),臺中市,青少年 (7-14),女,108287
都會區 (六都),臺中市,青少年 (7-14),男,116311
都會區 (六都),臺中市,青年 (15-24),女,139444
都會區 (六都),臺中市,青年 (15-24),男,148943
都會區 (六都),臺北市,中壯齡 (45-54),女,202894
都會區 (六都),臺北市,中壯齡 (45-54),男,175064
都會區 (六都),臺北市,中高齡 (55-64),女,198046
都會區 (六都),臺北市,中高齡 (55-64),男,166940
都會區 (六都),臺北市,初老齡 (65-74),女,191978
都會區 (六都),臺北市,初老齡 (65-74),男,156942
都會區 (六都),臺北市,學齡前 (0-6),女,54882
都會區 (六都),臺北市,學齡前 (0-6),男,58181
都會區 (六都),臺北市,成年 (25-44),女,330507
都會區 (六都),臺北市,成年 (25-44),男,305904
都會區 (六都),臺北市,老齡 (75+),女,133967
都會區 (六都),臺北市,老齡 (75+),男,94638
都會區 (六都),臺北市,青少年 (7-14),女,89402
都會區 (六都),臺北市,青少年 (7-14),男,95573
都會區 (六都),臺北市,青年 (15-24),女,96671
都會區 (六都),臺北市,青年 (15-24),男,103692
都會區 (六都),臺南市,中壯齡 (45-54),女,149544
都會區 (六都),臺南市,中壯齡 (45-54),男,144573
都會區 (六都),臺南市,中高齡 (55-64),女,148669
都會區 (六都),臺南市,中高齡 (55-64),男,140931
都會區 (六都),臺南市,初老齡 (65-74),女,121767
都會區 (六都),臺南市,初老齡 (65-74),男,112853
都會區 (六都),臺南市,學齡前 (0-6),女,38356
都會區 (六都),臺南市,學齡前 (0-6),男,41723
都會區 (六都),臺南市,成年 (25-44),女,257868
都會區 (六都),臺南市,成年 (25-44),男,270507
都會區 (六都),臺南市,老齡 (75+),女,78569
都會區 (六都),臺南市,老齡 (75+),男,56749
都會區 (六都),臺南市,青少年 (7-14),女,61677
都會區 (六都),臺南市,青少年 (7-14),男,66101
都會區 (六都),臺南市,青年 (15-24),女,80398
都會區 (六都),臺南市,青年 (15-24),男,87048
都會區 (六都),高雄市,中壯齡 (45-54),女,230881
都會區 (六都),高雄市,中壯齡 (45-54),男,217983
都會區 (六都),高雄市,中高齡 (55-64),女,216994
都會區 (六都),高雄市,中高齡 (55-64),男,200920
都會區 (六都),高雄市,初老齡 (65-74),女,193180
都會區 (六都),高雄市,初老齡 (65-74),男,163120
都會區 (六都),高雄市,學齡前 (0-6),女,57626
都會區 (六都),高雄市,學齡前 (0-6),男,61712
都會區 (六都),高雄市,成年 (25-44),女,375078
都會區 (六都),高雄市,成年 (25-44),男,386364
都會區 (六都),高雄市,老齡 (75+),女,113412
都會區 (六都),高雄市,老齡 (75+),男,82642
都會區 (六都),高雄市,青少年 (7-14),女,86049
都會區 (六都),高雄市,青少年 (7-14),男,92558
都會區 (六都),高雄市,青年 (15-24),女,119426
都會區 (六都),高雄市,青年 (15-24),男,128930
